body_id,body_name,body_type_id
3999111,NHS Ayrshire & Arran ,6113
3999112,NHS Borders,6113
3999113,NHS Dumfries & Galloway,6113
3999114,NHS Fife,6113
3999115,NHS Forth Valley,6113
3999116,NHS Grampian,6113
3999117,NHS Greater Glasgow and Clyde,6113
3999118,NHS Highland,6113
3999119,NHS Lanarkshire,6113
3999120,NHS Lothian,6113
3999121,NHS Orkney,6113
3999122,NHS Shetland,6113
3999123,NHS Tayside,6113
3999124,NHS Western Isles,6113
3999125,Healthcare Improvement Scotland,6113
3999126,National Waiting Times Centre Board,6113
3999127,NHS 24,6113
3999128,NHS Education for Scotland,6113
3999129,NHS National Services Scotland,6113
3999130,Public Health Scotland,6113
3999131,Scottish Ambulance Service Board,6113
3999132,State Hospital Board for Scotland,6113
3999139,The Scottish Ministers,6110
3999140,The Scottish Parliamentary Corporate Body,6110
3999141,Food Standards Scotland,6111
3999142,The Keeper of the Records of Scotland,6111
3999143,The Keeper of the Registers of Scotland,6111
3999144,The Office of the Scottish Charity Regulator,6111
3999145,"The Registrar General of Births, Deaths and Marriages for Scotland",6111
3999146,Revenue Scotland,6111
3999147,The Scottish Courts and Tribunals Service,6111
3999148,The Scottish Housing Regulator,6111
3999149,The Chief Constable of the Police Service of Scotland,6115
3999150,The Scottish Police Authority,6115
3999151,Audit Scotland,6116
3999152,The Board of Trustees for the National Galleries of Scotland,6116
3999153,The Board of Trustees of the National Museums of Scotland,6116
3999154,"The Board of Trustees of the Royal Botanic Garden, Edinburgh",6116
3999155,The British Waterways Board,6116
3999156,The Cairngorms National Park Authority,6116
3999157,Creative Scotland,6116
3999158,The Crofting Commission,6116
3999159,Crown Estate Scotland ,6116
3999160,Highlands and Islands Enterprise,6116
3999161,Historic Environment Scotland,6116
3999162,The James Hutton Institute,6116
3999163,The Loch Lomond and The Trossachs National Park Authority,6116
3999164,The Moredun Research Institute,6116
3999165,The National Library of Scotland,6116
3999166,The Scottish Childrenâ€™s Reporter Administration,6116
3999167,Scottish Enterprise,6116
3999168,The Scottish Environment Protection Agency,6116
3999169,The Scottish Fire and Rescue Service,6116
3999170,The Scottish Further and Higher Education Funding Council,6116
3999171,The Scottish Land Commission ,6116
3999172,The Scottish Legal Aid Board,6116
3999173,Scottish Natural Heritage,6116
3999174,The Scottish Public Services Ombudsman,6116
3999175,The Scottish Qualifications Authority,6116
3999176,The Scottish Social Services Council,6116
3999177,The Scottish Sports Council,6116
3999178,Scottish Water,6116
3999179,Social Care and Social Work Improvement Scotland (Care Inspectorate),6116
3999180,VisitScotland,6116
